datetime,ODBAsum_mean,cow_sum_mean,dog_sum_mean,sheep_sum_mean
17/1/17 0:15,86942,50082,9862,26998
17/1/17 0:30,87118,38368,10213,38537
17/1/17 0:45,102489,47668,9680,45139
17/1/17 1:00,127276,64176,14362,48739
17/1/17 1:15,111796,56829,14145,40823
17/1/17 1:30,118181,53350,10152,54679
17/1/17 1:45,150127,58067,9847,82215
17/1/17 2:00,129961,65677,10410,53873
17/1/17 2:15,100006,58700,9539,31768
17/1/17 2:30,83832,44032,9388,30412
17/1/17 2:45,87558,50826,9376,27358
17/1/17 3:00,90057,52556,11790,25709
17/1/17 3:15,91916,46921,13071,31926
17/1/17 3:30,96542,50690,12201,33654
17/1/17 3:45,119798,67178,17402,35219
17/1/17 4:00,108287,59800,12405,36081
17/1/17 4:15,105858,48551,9989,47316
17/1/17 4:30,113009,54127,10032,48850
17/1/17 4:45,109138,52100,18007,39031
17/1/17 5:00,168886,72407,68672,27810
17/1/17 5:15,187120,95112,66690,25318
17/1/17 5:30,194156,118802,43323,32028
17/1/17 5:45,258404,173352,35483,49571
17/1/17 6:00,251689,185737,15239,50714
17/1/17 6:15,233412,158491,19211,55711
17/1/17 6:30,196828,123640,30917,42271
17/1/17 6:45,156501,102174,26253,28075
17/1/17 7:00,209046,118822,50592,39631
17/1/17 7:15,312824,202187,56231,54404
17/1/17 7:30,309357,223521,25064,60772
17/1/17 7:45,256858,184739,14023,58097
17/1/17 8:00,203075,141346,22664,39065
17/1/17 8:15,193502,128042,25683,39777
17/1/17 8:30,170231,116125,9483,44623
17/1/17 8:45,137917,91639,9638,36641
17/1/17 9:00,158316,89982,9681,58653
17/1/17 9:15,174584,78850,14939,80793
17/1/17 9:30,154699,69785,21918,62997
17/1/17 9:45,164161,105832,10856,47471
17/1/17 10:00,180381,109803,10071,60508
17/1/17 10:15,133150,66494,12880,53775
17/1/17 10:30,105083,51827,14592,38664
17/1/17 10:45,99827,46282,16207,37342
17/1/17 11:00,110784,48968,19407,42409
17/1/17 11:15,127542,58284,31542,37715
17/1/17 11:30,101110,60593,11996,28521
17/1/17 11:45,100657,64474,10246,25936
18/1/17 0:00,133392,72996,11449,48947
18/1/17 0:15,149543,66237,14460,68847
18/1/17 0:30,149605,56937,14828,77837
18/1/17 0:45,146797,48306,12684,85808
18/1/17 1:00,117310,45453,10197,61660
18/1/17 1:15,85631,36692,12200,36740
18/1/17 1:30,87680,36319,10688,40673
18/1/17 1:45,104162,46290,10323,47550
18/1/17 2:00,93566,48287,11106,34173
18/1/17 2:15,93777,55712,10070,27996
18/1/17 2:30,87886,47004,15998,24884
18/1/17 2:45,84755,45709,15519,23526
18/1/17 3:00,101015,43749,10520,46748
18/1/17 3:15,149676,38512,10071,101093
18/1/17 3:30,118318,40543,13230,64543
18/1/17 3:45,99052,52072,13999,32982
18/1/17 4:00,93986,58037,9352,26597
18/1/17 4:15,91563,59487,9282,22793
18/1/17 4:30,91832,56456,11246,24128
18/1/17 4:45,98284,54511,16837,26934
18/1/17 5:00,118392,63396,19279,35718
18/1/17 5:15,111838,57610,17549,36677
18/1/17 5:30,110694,54998,15229,40467
18/1/17 5:45,157739,79217,26157,52366
18/1/17 6:00,269938,150872,72174,46890
18/1/17 6:15,292054,196175,31602,64279
18/1/17 6:30,258534,159107,26622,72805
18/1/17 6:45,226692,120352,36249,70090
18/1/17 7:00,241765,100854,81734,59179
18/1/17 7:15,271973,155552,72480,43939
18/1/17 7:30,282511,221225,29749,31537
18/1/17 7:45,276592,238791,13896,23904
18/1/17 8:00,245353,209177,10073,26104
18/1/17 8:15,236358,180850,11444,44062
18/1/17 8:30,234025,155383,23578,55065
18/1/17 8:45,212847,138897,15414,58537
18/1/17 9:00,194497,120041,13900,60557
18/1/17 9:15,168485,95832,16619,56036
18/1/17 9:30,159912,80976,20510,58427
18/1/17 9:45,192220,52183,70743,69296
18/1/17 10:00,175134,41646,61123,72363
18/1/17 10:15,169457,66087,28039,75331
18/1/17 10:30,127212,77599,17893,31723
18/1/17 10:45,127762,82366,15313,30084
18/1/17 11:00,114683,63115,12979,38590
18/1/17 11:15,102492,49105,9633,43754
18/1/17 11:30,131825,62024,10197,59604
18/1/17 11:45,108448,54347,10915,43185
18/1/17 12:00,107185,66561,10005,30618
18/1/17 12:15,135796,67187,11180,57429
18/1/17 12:30,149978,70336,12425,67217
18/1/17 12:45,145715,61131,25400,59185
18/1/17 13:00,124373,46585,29800,47988
18/1/17 13:15,100858,42050,11599,47210
18/1/17 13:30,106055,50419,10383,45251
18/1/17 13:45,101436,56821,10694,33918
18/1/17 14:00,97436,48760,11777,36900
18/1/17 14:15,124506,57283,18337,48886
18/1/17 14:30,213764,84591,29970,99202
18/1/17 14:45,353946,160087,43509,150347
18/1/17 15:00,293130,181684,35607,75838
18/1/17 15:15,225224,153366,17873,53985
18/1/17 15:30,157366,96867,10534,49966
18/1/17 15:45,146112,83695,11113,51303
18/1/17 16:00,198975,82293,41192,75490
18/1/17 16:15,245346,93146,73627,78573
18/1/17 16:30,246892,143835,29533,73523
18/1/17 16:45,209831,135364,12994,61472
18/1/17 17:00,278021,172746,40543,64734
18/1/17 17:15,302988,167993,53108,81889
18/1/17 17:30,217643,133650,27700,56291
18/1/17 17:45,277527,182913,43483,51131
18/1/17 18:00,282912,187949,57125,37840
18/1/17 18:15,239663,150814,54177,34673
18/1/17 18:30,179875,115991,25637,38247
18/1/17 18:45,142290,96500,10909,34885
18/1/17 19:00,125397,84741,9709,30947
18/1/17 19:15,110306,71786,11979,26540
18/1/17 19:30,97626,51793,10739,35095
18/1/17 19:45,97241,44052,9777,43410
18/1/17 20:00,92586,44585,11889,36112
18/1/17 20:15,120429,62116,25793,32516
18/1/17 20:30,145015,84487,23613,36915
18/1/17 20:45,123692,81135,12828,29733
18/1/17 21:00,116158,76927,11059,28174
18/1/17 21:15,113858,66554,17429,29874
18/1/17 21:30,103195,45848,28976,28371
18/1/17 21:45,110985,56339,20159,34487
18/1/17 22:00,126124,71332,10773,44019
