datetime,cow_mean,dog_mean,sheep_mean,ODBA_mean
28/10/16 12:00,51206,9335,12867,73408
28/10/16 12:15,123575,27118,22079,172771
28/10/16 12:30,151011,113156,13400,277567
28/10/16 12:45,93757,67461,70191,231409
28/10/16 13:00,85279,44625,130793,260697
28/10/16 13:15,87735,31107,296918,415760
28/10/16 13:30,87625,70100,310539,468264
28/10/16 13:45,78258,36637,219029,333924
28/10/16 14:00,86887,17588,175853,280328
28/10/16 14:15,87792,20012,164435,272238
28/10/16 14:30,114451,364757,165654,644862
28/10/16 14:45,85492,278489,180050,544030
28/10/16 15:00,86651,294424,136285,517360
28/10/16 15:15,138984,55822,153372,348178
28/10/16 15:30,235361,69245,167482,472088
28/10/16 15:45,144558,24980,150447,319985
28/10/16 16:00,127359,46238,160525,334122
28/10/16 16:15,116845,51567,128207,296619
28/10/16 16:30,112718,68659,123063,304440
28/10/16 16:45,109353,16765,119003,245120
28/10/16 17:00,131886,47781,139599,319266
28/10/16 17:15,111525,90493,107992,310009
28/10/16 17:30,102079,43813,90375,236266
28/10/16 17:45,134334,36357,57961,228652
28/10/16 18:00,253880,97836,87561,439276
28/10/16 18:15,267934,60505,74637,403076
28/10/16 18:30,248792,18705,78380,345877
28/10/16 18:45,239407,52078,109979,401465
28/10/16 19:00,226326,55659,99018,381003
28/10/16 19:15,216234,10258,78903,305395
28/10/16 19:30,217755,11427,96235,325418
28/10/16 19:45,171078,10989,85360,267426
28/10/16 20:00,79077,67897,68992,215966
28/10/16 20:15,61858,9411,106907,178176
28/10/16 20:30,104988,14294,78103,197384
28/10/16 20:45,54544,13324,50553,118421
28/10/16 21:00,68334,15279,66729,150342
28/10/16 21:15,87164,10918,103563,201646
28/10/16 21:30,77314,19890,124828,222032
28/10/16 21:45,63202,11822,122107,197131
28/10/16 22:00,69211,11644,147940,228794
28/10/16 22:15,102671,11103,127629,241404
28/10/16 22:30,67889,49925,78785,196599
28/10/16 22:45,68814,15372,82493,166679
28/10/16 23:00,59378,12183,86634,158196
28/10/16 23:15,69063,34108,40286,143456
28/10/16 23:30,50919,18535,43191,112645
28/10/16 23:45,56777,13913,61318,132008
29/10/16 0:00,65007,16284,76643,157934
29/10/16 0:15,54841,18054,71533,144428
29/10/16 0:30,54981,14790,60397,130169
29/10/16 0:45,85483,19873,61730,167086
29/10/16 1:00,106079,21863,100610,228552
29/10/16 1:15,76174,16444,100849,193468
29/10/16 1:30,55363,15793,77569,148725
29/10/16 1:45,68848,53300,44071,166220
29/10/16 2:00,56892,20201,94177,171269
29/10/16 2:15,58386,14275,71441,144102
29/10/16 2:30,88468,25270,51960,165698
29/10/16 2:45,73659,12979,63923,150561
29/10/16 3:00,80877,12999,44022,137898
29/10/16 3:15,48306,12689,33042,94037
29/10/16 3:30,47979,13583,39904,101466
29/10/16 3:45,62377,27927,49274,139578
29/10/16 4:00,56226,25530,46385,128141
29/10/16 4:15,55419,21689,69157,146265
29/10/16 4:30,45124,16632,67757,129513
29/10/16 4:45,96021,12844,64636,173501
29/10/16 5:00,107968,41397,64679,214044
29/10/16 5:15,183231,105912,104658,393801
29/10/16 5:30,238955,24554,153508,417017
29/10/16 5:45,214915,72342,131186,418443
29/10/16 6:00,180400,41129,120746,342274
29/10/16 6:15,116250,62380,153614,332244
29/10/16 6:30,225764,55955,130324,412043
29/10/16 6:45,203585,69337,120154,393076
29/10/16 7:00,230502,308544,87065,626110
29/10/16 7:15,241244,294749,55902,591894
29/10/16 7:30,252278,250804,65214,568297
29/10/16 7:45,239335,107910,80569,427814
29/10/16 8:00,226018,90430,65840,382288
29/10/16 8:15,240456,87472,100181,428110
29/10/16 8:30,237781,45340,129240,412361
29/10/16 8:45,211279,27887,94490,333655
29/10/16 9:00,168591,12231,104118,284941
29/10/16 9:15,142689,10941,126701,280331
29/10/16 9:30,95894,42835,144945,283674
29/10/16 9:45,83917,65117,83810,232844
29/10/16 10:00,83931,40054,50633,174618
29/10/16 10:15,82527,17758,59300,159585
29/10/16 10:30,75124,11850,67662,154636
29/10/16 10:45,76642,10693,89807,177142
29/10/16 11:00,104698,25507,86112,216318
29/10/16 11:15,76188,33339,155191,264718
29/10/16 11:30,85089,33813,90600,209502
29/10/16 11:45,81100,361590,47682,490372
29/10/16 12:00,76590,225186,40634,342410
29/10/16 12:15,90620,52133,51209,193963
29/10/16 12:30,78018,36054,80200,194271
29/10/16 12:45,73104,20763,144987,238854
29/10/16 13:00,110585,36634,101464,248682
29/10/16 13:15,103471,48740,106648,258859
29/10/16 13:30,63188,25250,94541,182978
29/10/16 13:45,53112,22199,97189,172500
29/10/16 14:00,62248,73882,153835,289964
29/10/16 14:15,184568,35613,162580,382761
29/10/16 14:30,221706,47042,168414,437162
29/10/16 14:45,178018,41302,190122,409441
29/10/16 15:00,165352,38945,158275,362573
29/10/16 15:15,106261,44601,140295,291157
29/10/16 15:30,70353,63214,161092,294659
29/10/16 15:45,87512,44890,143475,275877
29/10/16 16:00,109705,56530,140979,307214
29/10/16 16:15,115290,54653,153202,323146
29/10/16 16:30,201496,66805,123451,391752
29/10/16 16:45,210506,108524,86628,405658
29/10/16 17:00,238507,78725,99324,416556
29/10/16 17:15,241610,40721,91109,373440
29/10/16 17:30,242799,123683,126053,492536
29/10/16 17:45,245530,200868,110034,556431
29/10/16 18:00,221323,206807,51293,479424
29/10/16 18:15,231718,68068,47241,347027
29/10/16 18:30,188982,22095,62484,273561
29/10/16 18:45,76722,40227,88705,205655
29/10/16 19:00,53593,48449,52455,154497
29/10/16 19:15,54642,12763,43382,110787
29/10/16 19:30,57959,11203,81020,150182
29/10/16 19:45,50610,9692,100257,160559
29/10/16 20:00,89955,33728,71076,194759
29/10/16 20:15,109273,55725,89714,254712
29/10/16 20:30,118918,36667,115769,271354
29/10/16 20:45,119393,64612,127325,311330
29/10/16 21:00,59026,13790,123606,196423
29/10/16 21:15,65042,14241,70532,149815
29/10/16 21:30,69543,11381,49974,130899
29/10/16 21:45,59661,11837,67631,139128
29/10/16 22:00,55044,14438,62584,132067
29/10/16 22:15,64589,10157,59395,134141
29/10/16 22:30,87388,32035,95664,215086
29/10/16 22:45,61468,44867,80875,187210
29/10/16 23:00,76696,37928,125723,240346
29/10/16 23:15,60669,125850,118357,304876
29/10/16 23:30,68569,22608,77396,168573
29/10/16 23:45,80308,9896,44630,134834
30/10/16 0:00,56194,22077,48799,127070
30/10/16 0:15,67025,9810,42042,118878
30/10/16 0:30,99560,9894,94859,204314
30/10/16 0:45,106075,10158,71915,188148
30/10/16 1:00,98530,12376,56524,167429
30/10/16 1:15,66176,46547,38413,151135
30/10/16 1:30,56880,31927,46508,135315
30/10/16 1:45,41919,10255,66178,118352
30/10/16 2:00,56850,10823,52482,120155
30/10/16 2:15,51286,9454,75694,136434
30/10/16 2:30,56514,14959,67844,139318
30/10/16 2:45,65499,10386,39577,115462
30/10/16 3:00,109037,37652,66201,212890
30/10/16 3:15,79721,17943,57250,154913
30/10/16 3:30,91022,11888,93994,196904
30/10/16 3:45,75594,19380,136709,231683
30/10/16 4:00,63381,23817,99510,186708
30/10/16 4:15,48326,17110,89429,154866
30/10/16 4:30,55066,29873,66363,151302
30/10/16 4:45,50566,51412,86795,188773
30/10/16 5:00,108381,11196,93533,213110
30/10/16 5:15,143826,28529,122001,294356
30/10/16 5:30,260138,27880,100161,388179
30/10/16 5:45,265285,49319,133849,448453
30/10/16 6:00,246035,28846,129010,403891
30/10/16 6:15,215749,146180,116431,478359
30/10/16 6:30,144128,286368,101430,531926
30/10/16 6:45,218642,270863,139750,629255
30/10/16 7:00,183169,244673,128995,556837
30/10/16 7:15,255489,66865,81989,404343
30/10/16 7:30,268858,41029,55496,365383
30/10/16 7:45,246547,30501,80795,357843
30/10/16 8:00,233126,34552,65440,333118
30/10/16 8:15,179828,29699,40086,249613
30/10/16 8:30,136093,10757,42365,189216
30/10/16 8:45,73758,28248,43822,145828
30/10/16 9:00,78677,60010,68160,206848
30/10/16 9:15,128519,54961,56025,239505
30/10/16 9:30,105681,23628,73287,202595
30/10/16 9:45,126737,67656,61551,255944
