LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
42.985,13.015,8.9,2.4,4.4112,10.456,-3.253,-2.98,0.000918,17-01-2017 00:11
42.958,13.11,6.0,1.7,7.9587,10.3265,-6.43,4.691,0.000225,17-01-2017 00:12
43.159,12.902,50.1,2.3,20.1108,54.5244,16.351,-11.709,1.3e-05,17-01-2017 00:30
42.985,13.013,9.4,1.4,4.4795,10.9392,-3.193,-3.141,0.000105,17-01-2017 00:42
42.595,13.508,14.0,2.0,59.7472,61.5004,-47.371,36.41,4e-06,17-01-2017 00:51
42.766,13.265,12.5,1.6,32.6804,35.2008,-27.969,16.904,8e-06,17-01-2017 00:53
43.017,13.115,9.5,2.4,5.2467,11.3637,0.114,5.245,0.000804,17-01-2017 01:16
42.577,13.362,17.5,2.2,54.9133,57.8131,-49.182,24.425,8e-06,17-01-2017 01:42
42.497,13.225,11.0,1.4,59.2607,60.3815,-57.828,12.954,1e-06,17-01-2017 01:53
42.712,13.159,11.3,1.6,34.8254,36.796,-33.871,8.098,7e-06,17-01-2017 01:55
42.49,13.232,12.1,1.8,60.1213,61.4439,-58.573,13.555,2e-06,17-01-2017 02:01
42.813,13.126,9.8,1.7,23.1908,25.4079,-22.505,5.598,2.8e-05,17-01-2017 02:03
42.889,13.131,11.3,1.9,15.3768,19.4314,-14.074,6.194,9.2e-05,17-01-2017 03:16
43.071,13.101,9.3,1.5,7.4723,12.3875,6.136,4.265,0.000104,17-01-2017 03:25
42.89,13.134,11.1,1.7,15.4156,19.3407,-14.002,6.449,5.9e-05,17-01-2017 03:32
42.894,13.127,12.3,2.1,14.7354,19.5711,-13.512,5.879,0.00014,17-01-2017 03:37
42.488,13.23,12.0,2.1,60.2926,61.5911,-58.792,13.369,5e-06,17-01-2017 03:46
42.82,13.251,14.1,1.5,27.1319,30.8487,-22.004,15.874,1e-05,17-01-2017 04:04
42.808,13.134,9.9,1.7,23.9175,26.1128,-23.076,6.288,2.6e-05,17-01-2017 04:21
43.045,13.109,9.1,1.9,5.8155,11.2926,3.29,4.795,0.000296,17-01-2017 04:23
42.918,13.178,7.9,1.4,14.9288,17.1692,-10.993,10.1,3.9e-05,17-01-2017 04:34
43.048,13.101,10.0,1.6,5.5215,11.9341,3.604,4.183,0.00014,17-01-2017 04:56
43.054,13.066,10.0,1.6,4.5639,11.5224,4.358,1.356,0.00015,17-01-2017 05:02
42.734,13.303,14.2,1.6,37.3273,40.1469,-31.585,19.893,5e-06,17-01-2017 05:21
43.005,13.153,9.5,1.2,8.4216,13.135,-1.299,8.321,4.6e-05,17-01-2017 05:45
42.777,13.093,9.6,1.6,26.6527,28.5307,-26.499,2.857,1.6e-05,17-01-2017 05:53
42.985,13.017,9.8,1.6,4.2892,11.2313,-3.2,-2.856,0.000157,17-01-2017 06:08
43.026,13.054,10.8,1.6,1.3072,11.4548,1.271,0.307,0.000151,17-01-2017 06:10
42.989,13.057,12.3,1.6,2.9554,13.2147,-2.922,0.446,0.000114,17-01-2017 06:33
43.023,13.055,10.6,1.2,0.9893,11.2237,0.913,0.38,6.3e-05,17-01-2017 07:01
42.99,13.075,9.1,1.7,3.3695,10.2497,-2.81,1.86,0.000228,17-01-2017 07:12
42.563,13.236,10.4,1.7,52.4241,53.5617,-50.517,14.01,3e-06,17-01-2017 07:18
42.69,13.125,11.3,1.4,36.5706,38.4518,-36.196,5.22,4e-06,17-01-2017 07:28
43.067,13.046,10.2,2.4,5.8557,12.2678,5.851,-0.247,0.000706,17-01-2017 07:33
42.896,13.107,8.0,0.8,13.9313,16.3615,-13.264,4.259,1e-05,17-01-2017 07:38
42.941,13.146,8.3,1.7,11.3222,14.3892,-8.383,7.61,0.000119,17-01-2017 07:40
42.836,13.111,10.3,1.9,20.4098,23.1286,-19.924,4.428,5.8e-05,17-01-2017 07:44
43.143,13.221,16.2,1.5,19.8856,26.0193,13.94,14.181,1.6e-05,17-01-2017 07:47
43.01,13.004,8.1,1.7,3.8861,9.5102,-0.454,-3.86,0.000257,17-01-2017 08:14
43.011,13.0,8.6,1.2,4.1975,10.0941,-0.346,-4.183,7.7e-05,17-01-2017 08:16
42.837,13.082,10.6,1.3,19.8724,22.8014,-19.76,2.11,1.4e-05,17-01-2017 08:21
42.565,13.227,10.3,2.0,52.0486,53.1736,-50.314,13.325,6e-06,17-01-2017 08:43
43.105,13.059,9.6,1.5,10.075,14.3227,10.035,0.893,7.7e-05,17-01-2017 08:51
42.628,13.23,7.6,1.5,45.3536,46.0853,-43.244,13.67,3e-06,17-01-2017 09:10
42.81,13.146,10.0,1.9,24.0097,26.2374,-22.876,7.291,4.1e-05,17-01-2017 09:11
42.561,13.229,10.7,1.6,52.489,53.6874,-50.728,13.48,2e-06,17-01-2017 09:33
42.431,13.257,10.2,2.5,67.0145,67.876,-65.211,15.441,1.1e-05,17-01-2017 10:06
42.884,13.215,7.9,2.2,19.7431,21.4873,-14.779,13.09,0.000138,17-01-2017 10:10
42.912,13.13,9.1,1.1,13.0991,16.2877,-11.552,6.176,2.2e-05,17-01-2017 10:34
42.432,13.259,10.1,1.9,66.9568,67.8032,-65.104,15.641,2e-06,17-01-2017 10:40
43.03,12.943,13.3,1.8,8.9799,16.5316,1.943,-8.767,0.000109,17-01-2017 10:45
43.034,12.94,13.3,1.5,9.3135,16.7151,2.393,-9.001,5.3e-05,17-01-2017 10:47
43.013,13.052,9.1,2.2,0.2399,9.683,-0.214,0.109,0.000697,17-01-2017 11:01
42.897,13.19,11.4,1.2,17.3494,21.0837,-13.359,11.07,1.4e-05,17-01-2017 11:12
42.962,13.13,9.4,1.9,8.7305,13.2598,-6.054,6.29,0.000219,17-01-2017 11:13
42.751,13.153,9.2,1.8,30.4825,32.013,-29.496,7.694,1.8e-05,17-01-2017 11:34
42.787,13.144,8.5,1.1,26.375,27.8942,-25.425,7.014,5e-06,17-01-2017 11:37
42.913,13.047,9.9,1.6,11.2675,15.3879,-11.255,-0.539,8.2e-05,17-01-2017 11:43
42.834,13.202,10.6,2.5,23.601,26.1151,-20.376,11.909,0.000161,17-01-2017 11:44
43.017,13.06,9.7,1.6,0.7894,10.3103,0.294,0.733,0.000182,17-01-2017 12:04
42.851,13.147,12.3,1.6,19.7638,23.5903,-18.323,7.407,2.7e-05,17-01-2017 12:09
42.803,13.102,10.5,1.0,23.9427,26.3822,-23.662,3.657,4e-06,17-01-2017 12:11
42.788,13.045,10.8,1.0,25.1537,27.6082,-25.132,-1.041,4e-06,17-01-2017 12:15
42.77,13.206,9.6,1.7,29.9654,31.6474,-27.424,12.078,1.5e-05,17-01-2017 12:17
42.678,13.168,9.9,1.1,38.5782,39.9763,-37.573,8.747,1e-06,17-01-2017 12:38
42.968,13.036,10.2,2.0,5.3822,12.0489,-5.214,-1.337,0.000325,17-01-2017 12:39
42.842,13.204,13.2,1.9,22.9232,26.7462,-19.48,12.083,3.9e-05,17-01-2017 12:40
42.822,13.184,13.0,1.5,24.0431,27.6131,-21.677,10.401,1.3e-05,17-01-2017 12:54
42.828,13.06,10.3,1.4,20.7759,23.4523,-20.774,0.287,1.7e-05,17-01-2017 13:06
42.626,13.002,10.1,1.3,43.3814,44.6767,-43.096,-4.968,2e-06,17-01-2017 13:15
42.801,13.117,10.5,2.1,24.3173,26.7226,-23.833,4.832,6.2e-05,17-01-2017 13:42
42.904,13.198,8.9,1.2,17.2183,19.6555,-12.595,11.74,1.7e-05,17-01-2017 13:50
43.018,13.106,9.5,2.1,4.5291,11.0507,0.241,4.523,0.000464,17-01-2017 14:02
42.891,13.12,6.7,1.5,14.8128,16.5051,-13.832,5.3,5.5e-05,17-01-2017 14:09
43.023,13.112,8.8,2.0,5.0952,10.6745,0.841,5.025,0.000401,17-01-2017 14:37
42.942,13.121,10.1,1.7,9.9129,14.5715,-8.237,5.515,0.000116,17-01-2017 14:47
42.906,13.19,11.0,1.3,16.5268,20.18,-12.302,11.036,2e-05,17-01-2017 14:55
42.959,13.153,10.2,1.6,10.3607,14.9517,-6.374,8.168,8.7e-05,17-01-2017 15:26
42.703,13.18,11.1,1.0,36.1687,38.0078,-34.818,9.79,1e-06,17-01-2017 15:29
42.644,13.215,12.6,1.9,43.284,45.2462,-41.432,12.527,8e-06,17-01-2017 15:34
42.771,13.117,8.1,1.0,27.5871,28.9204,-27.165,4.806,3e-06,17-01-2017 15:44
43.017,13.13,9.6,1.6,6.4277,12.0394,0.087,6.427,0.000138,17-01-2017 15:54
42.957,13.126,8.6,1.5,8.8654,12.762,-6.547,5.977,9.8e-05,17-01-2017 15:55
42.938,13.206,7.4,1.3,15.2702,17.2296,-8.855,12.441,3.1e-05,17-01-2017 16:13
42.84,13.102,10.8,1.5,19.7988,22.8363,-19.442,3.744,2.3e-05,17-01-2017 16:17
42.828,13.112,10.0,1.2,21.3581,23.835,-20.87,4.538,1e-05,17-01-2017 16:23
43.038,13.112,9.4,1.5,5.6238,11.4554,2.451,5.062,0.000121,17-01-2017 16:32
42.927,12.892,9.7,1.5,16.2219,19.2049,-9.404,-13.218,3.7e-05,17-01-2017 16:44
42.796,13.091,10.3,1.2,24.4895,26.7976,-24.34,2.701,7e-06,17-01-2017 16:59
42.928,13.169,9.9,1.5,13.5987,17.1684,-9.812,9.416,5e-05,17-01-2017 17:11
42.991,13.137,9.7,1.9,7.5473,12.753,-2.826,6.998,0.000236,17-01-2017 17:17
43.018,13.14,9.8,2.0,7.2706,12.6731,0.168,7.269,0.000295,17-01-2017 18:03
42.996,13.018,9.7,1.7,3.3921,10.8252,-1.991,-2.746,0.000208,17-01-2017 18:21
42.8,13.102,10.8,2.4,24.1615,26.7073,-23.884,3.652,0.000122,17-01-2017 18:27
42.561,13.234,10.7,1.6,52.6018,53.7977,-50.737,13.883,2e-06,17-01-2017 18:46
42.767,13.165,10.8,1.8,29.0164,31.1682,-27.694,8.658,2e-05,17-01-2017 18:52
42.906,13.114,8.0,2.1,13.1668,15.7157,-12.223,4.895,0.000234,17-01-2017 19:10
42.88,13.128,7.3,1.6,16.2722,18.0798,-15.136,5.974,5.5e-05,17-01-2017 19:12
42.758,13.164,9.1,1.7,29.953,31.4783,-28.693,8.596,1.5e-05,17-01-2017 19:13
42.992,13.015,8.5,1.5,3.873,9.8715,-2.486,-2.97,0.000157,17-01-2017 19:22
42.835,13.105,12.3,1.7,20.4823,24.1955,-20.091,3.983,3.2e-05,17-01-2017 19:35
42.959,13.116,9.8,1.4,8.1699,13.2095,-6.329,5.166,7.3e-05,17-01-2017 19:39
42.993,13.079,9.8,2.0,3.2983,10.8914,-2.44,2.219,0.000388,17-01-2017 20:02
43.052,13.089,12.6,2.1,5.1747,14.1595,4.048,3.223,0.000292,17-01-2017 20:14
43.013,13.114,9.2,2.5,5.1302,11.0439,-0.284,5.122,0.001021,17-01-2017 20:15
42.571,13.238,9.5,1.3,51.6079,52.5831,-49.611,14.218,1e-06,17-01-2017 20:32
42.994,13.074,9.6,1.8,2.988,10.6094,-2.375,1.813,0.000267,17-01-2017 20:38
43.053,13.04,9.6,1.5,4.36,11.0744,4.295,-0.748,0.000129,17-01-2017 20:48
42.987,13.019,9.6,2.2,4.0704,10.9636,-3.048,-2.698,0.000575,17-01-2017 20:59
43.387,12.744,14.3,1.5,48.2936,50.534,41.953,-23.921,2e-06,17-01-2017 21:04
42.983,13.025,9.7,1.9,4.0671,11.0553,-3.415,-2.209,0.000307,17-01-2017 21:16
42.949,13.031,10.0,1.5,7.5145,12.9771,-7.291,-1.818,9.5e-05,17-01-2017 21:26
43.091,13.028,11.7,1.2,8.6537,15.0228,8.495,-1.651,3.4e-05,17-01-2017 22:19
42.749,13.194,10.2,1.9,31.7051,33.4877,-29.734,11.005,2e-05,17-01-2017 22:33
42.986,13.156,9.8,2.0,9.1397,13.8303,-3.414,8.478,0.000248,17-01-2017 22:39
42.866,13.137,8.4,2.8,17.9297,20.0528,-16.64,6.676,0.000568,17-01-2017 22:52
43.019,13.11,9.4,2.1,4.8271,11.0861,0.39,4.811,0.000462,17-01-2017 22:55
42.79,13.304,15.5,1.6,32.4168,36.1858,-25.434,20.098,8e-06,17-01-2017 23:11
42.796,13.11,10.4,1.4,24.7857,27.1089,-24.419,4.246,1.1e-05,17-01-2017 23:38
42.913,13.047,10.4,1.3,11.2453,15.7168,-11.232,-0.538,3.9e-05,17-01-2017 23:50
42.609,13.253,10.9,1.6,47.985,49.3392,-45.394,15.553,3e-06,18-01-2017 01:10
43.048,13.046,10.0,1.2,3.7181,11.2143,3.707,-0.289,6.4e-05,18-01-2017 01:42
42.82,13.036,10.6,1.6,21.6832,24.3958,-21.617,-1.695,2.5e-05,18-01-2017 01:43
43.074,13.051,7.5,1.3,6.6209,10.4462,6.618,0.186,9.1e-05,18-01-2017 02:02
42.771,13.055,10.6,1.6,27.0397,29.2598,-27.038,-0.315,1.5e-05,18-01-2017 02:06
