LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
42.861,13.158,9.3,1.7,19.1811,21.5761,-17.266,8.354,4.4e-05,29-10-2016 00:02
42.899,13.177,8.4,1.6,16.4634,18.7532,-13.08,9.998,5e-05,29-10-2016 00:03
43.007,13.1,9.5,1.7,4.0931,10.8793,-0.947,3.982,0.000206,29-10-2016 00:05
42.893,13.035,9.8,1.9,13.5812,17.0937,-13.485,-1.612,0.000125,29-10-2016 00:09
43.004,13.08,7.0,1.5,2.6535,8.031,-1.243,2.344,0.000212,29-10-2016 00:12
42.865,13.094,10.4,1.6,16.9973,20.2353,-16.706,3.136,4.1e-05,29-10-2016 00:15
42.951,12.979,9.3,1.7,9.1904,13.4936,-6.936,-6.03,0.000137,29-10-2016 00:16
43.082,13.044,12.4,1.4,7.4973,14.9896,7.487,-0.388,5.5e-05,29-10-2016 00:22
42.992,13.086,9.2,2.0,3.8143,10.4975,-2.587,2.803,0.000412,29-10-2016 00:26
43.044,13.111,9.0,1.5,5.8808,11.241,3.142,4.971,0.000125,29-10-2016 00:27
42.845,13.244,8.3,1.8,24.5722,26.1275,-19.193,15.343,3.3e-05,29-10-2016 00:28
42.998,13.101,8.5,1.7,4.4861,10.1278,-1.948,4.041,0.000233,29-10-2016 00:29
42.897,13.075,9.3,2.0,13.2218,16.5054,-13.117,1.665,0.000169,29-10-2016 00:33
42.922,13.156,9.1,1.9,13.3996,16.5303,-10.488,8.339,0.000136,29-10-2016 00:35
43.017,13.126,7.9,2.6,6.1271,10.4619,0.116,6.126,0.001339,29-10-2016 00:36
42.862,13.095,9.7,1.6,17.3402,20.1584,-17.041,3.21,4.2e-05,29-10-2016 00:40
42.858,13.068,9.9,1.9,17.4628,20.3662,-17.435,0.994,8.1e-05,29-10-2016 00:42
42.805,13.146,8.9,2.5,24.5543,26.3208,-23.464,7.237,0.000158,29-10-2016 00:47
42.854,13.118,9.8,2.0,18.6725,21.3636,-17.971,5.069,9e-05,29-10-2016 00:48
42.97,13.12,10.2,1.3,7.5105,13.1384,-5.093,5.52,5.8e-05,29-10-2016 00:54
42.855,13.118,10.9,1.7,18.5663,21.8288,-17.86,5.071,4.3e-05,29-10-2016 00:56
42.971,13.126,9.0,1.8,7.8147,12.3631,-4.992,6.012,0.000202,29-10-2016 00:57
42.867,13.011,8.3,1.9,16.7274,18.9383,-16.327,-3.64,9.8e-05,29-10-2016 00:58
42.893,13.032,11.1,1.2,13.6068,17.9323,-13.48,-1.857,2.2e-05,29-10-2016 01:03
43.058,13.09,8.7,1.9,5.7696,10.9273,4.736,3.296,0.000313,29-10-2016 01:04
42.924,13.146,9.3,2.2,12.716,16.1032,-10.248,7.528,0.000274,29-10-2016 01:07
42.929,13.055,11.0,1.4,9.5259,14.9946,-9.525,0.114,5.5e-05,29-10-2016 01:11
43.059,13.072,10.7,1.8,5.2129,12.4263,4.88,1.833,0.0002,29-10-2016 01:11
43.03,13.062,9.6,1.5,1.9254,10.3605,1.678,0.944,0.000145,29-10-2016 01:16
42.873,13.05,9.1,1.7,15.7409,18.4792,-15.735,-0.438,6.6e-05,29-10-2016 01:21
42.855,13.249,9.1,1.5,24.0029,25.8813,-18.091,15.775,1.6e-05,29-10-2016 01:23
42.872,13.189,5.5,1.6,19.4497,20.3779,-16.1,10.913,4.1e-05,29-10-2016 01:29
42.87,13.156,7.4,2.6,18.2192,19.8902,-16.263,8.213,0.000388,29-10-2016 01:31
42.698,13.107,10.0,1.7,35.4774,37.0213,-35.275,3.781,9e-06,29-10-2016 01:34
42.829,13.154,9.2,1.8,22.2792,24.3313,-20.813,7.95,4e-05,29-10-2016 01:35
43.053,13.094,8.6,1.5,5.5171,10.7103,4.173,3.609,0.000137,29-10-2016 01:36
43.024,13.085,8.1,1.8,2.9653,9.1725,0.969,2.803,0.000335,29-10-2016 01:38
42.873,13.156,5.0,1.0,17.9258,18.7742,-15.93,8.22,1.2e-05,29-10-2016 01:45
42.858,13.066,10.7,2.0,17.4506,20.7788,-17.431,0.83,9.7e-05,29-10-2016 01:47
